k,alg,time,mem,len
1,basic,1.523,778240,4
3,basic,1.266,823296,4
4,basic,1.688,823296,4
5,basic,2.906,880640,4
6,basic,4.084,974848,3
6,basic,6.829,1245180,4
7,basic,11.754,1609730,3
7,basic,17.981,2146300,4
7,basic,28.244,2789380,5
8,basic,40.523,3588100,3
8,basic,69.781,5607420,4
8,basic,106.092,8077310,5
9,basic,154.958,11124700,3
8,basic,205.714,14700500,7
6,basic,271.369,17162200,31
1,efficient,1.28,790528,4
3,efficient,1.125,851968,4
4,efficient,1.793,864256,4
5,efficient,3.738,831488,4
6,efficient,9.673,880640,3
6,efficient,13.024,851968,4
7,efficient,28.129,933888,3
7,efficient,45.377,913408,4
7,efficient,69.414,1052670,5
8,efficient,96.606,1089540,3
8,efficient,179.091,1110020,4
8,efficient,273.913,1167360,5
9,efficient,374.422,1220610,3
8,efficient,528.854,1232900,7
6,efficient,680.967,1220610,31
